PAYS;VILLE;CODE_IATA;MONTANT;ZONE;DATE
AFRIQUE DU SUD;Johannesburg;JNB;185;MONDE;01/01/2024
AFRIQUE DU SUD;Le Cap;CPT;185;MONDE;01/01/2024
ALBANIE;Tirana;TIA;130;EUROPE;01/01/2024
ALGERIE;Alger;ALG;141,33;EUROPE;01/01/2024
ALGERIE;Annaba;AAE;141,33;EUROPE;01/01/2024
ALGERIE;Constantine;CZL;141,33;EUROPE;01/01/2024
ALGERIE;Oran;ORN;141,33;EUROPE;01/01/2024
ALLEMAGNE;Berlin;BER;173;EURO;01/01/2024
ALLEMAGNE;Dusseldorf;DUS;173;EURO;01/01/2024
ALLEMAGNE;Francfort;FRA;173;EURO;01/01/2024
ALLEMAGNE;Hamburg;HAM;173;EURO;01/01/2024
ALLEMAGNE;Munich;MUC;173;EURO;01/01/2024
ALLEMAGNE;Stuttgart;STR;173;EURO;01/01/2024
ANGOLA;Luanda;LAD;300;MONDE;01/01/2024
ARABIE SAOUDITE;Riyad;RUH;337;MONDE;01/01/2024
ARGENTINE;Buenos Aires;EZE;144,99;MONDE;01/01/2024
ARMENIE;Erevan;EVN;186;MONDE;01/01/2024
AUTRICHE;Vienne;VIE;173;EURO;01/01/2024
BELGIQUE;Bruxelles;BRU;173;EURO;01/01/2024
BENIN;Cotonou;COO;145;MONDE;01/01/2024
BRESIL;Fortaleza;FOR;216;MONDE;01/01/2024
BRESIL;Rio de Janeiro;GIG;216;MONDE;01/01/2024
BRESIL;Sao Paulo;GRU;216;MONDE;01/01/2024
BULGARIE;Sofia;SOF;145;EUROPE;01/01/2024
BURKINA FASO;Ouagadougou;OUA;145;MONDE;01/01/2024
CAMEROUN;Douala;DLA;120;MONDE;01/01/2024
CAMEROUN;Yaounde;NSI;120;MONDE;01/01/2024
CANADA;Montreal;YUL;176,46;MONDE;01/01/2024
CANADA;Ottawa;YOW;176,46;MONDE;01/01/2024
CANADA;Quebec;YQB;176,46;MONDE;01/01/2024
CANADA;Toronto;YYZ;176,46;MONDE;01/01/2024
CANADA;Vancouver;YVR;176,46;MONDE;01/01/2024
CHILI;Santiago;SCL;200,41;MONDE;01/01/2024
CHINE;Pekin;PEK;218,87;MONDE;01/01/2024
CHINE;Shanghai;PVG;218,87;MONDE;01/01/2024
COLOMBIE;Bogota;BOG;162,54;MONDE;01/01/2024
CONGO;Brazzaville;BZZ;182,94;MONDE;01/01/2024
CONGO;Pointe-Noire;PNR;182,94;MONDE;01/01/2024
COREE DU SUD;Seoul;ICN;210;MONDE;01/01/2024
COSTA RICA;San Jose;SJO;156,08;MONDE;01/01/2024
COTE D?IVOIRE;Abidjan;ABJ;208,86;MONDE;01/01/2024
CROATIE;Dubrovnik;DBV;173;EURO;01/01/2024
CROATIE;Split;SPU;173;EURO;01/01/2024
CROATIE;Zagreb;ZAG;173;EURO;01/01/2024
CUBA;La Havane;HAV;200;MONDE;01/01/2024
DANEMARK;Billund;BLL;222,61;EUROPE;01/01/2024
DANEMARK;Copenhague;CPH;222,61;EUROPE;01/01/2024
DJIBOUTI;Djibouti;JIB;188,38;MONDE;01/01/2024
EGYPTE;Le Caire;CAI;148;MONDE;01/01/2024
EMIRATS ARABES UNIS;Abu Dhabi;AUH;300;MONDE;01/01/2024
EMIRATS ARABES UNIS;Dubai;DXB;300;MONDE;01/01/2024
ESPAGNE;Barcelone;BCN;173;EURO;01/01/2024
ESPAGNE;Bilbao;BIO;173;EURO;01/01/2024
ESPAGNE;Ibiza;IBZ;173;EURO;01/01/2024
ESPAGNE;Madrid;MAD;173;EURO;01/01/2024
ESPAGNE;Malaga;AGP;173;EURO;01/01/2024
ESPAGNE;Palma de Majorque;PMI;173;EURO;01/01/2024
ESPAGNE;Seville;SVQ;173;EURO;01/01/2024
ESPAGNE;Valencia;VLC;173;EURO;01/01/2024
ETATS - UNIS;Atlanta;ATL;295,53;MONDE;01/01/2024
ETATS - UNIS;Boston;BOS;295,53;MONDE;01/01/2024
ETATS - UNIS;Chicago;ORD;295,53;MONDE;01/01/2024
ETATS - UNIS;Dallas;DFW;295,53;MONDE;01/01/2024
ETATS - UNIS;Denver;DEN;295,53;MONDE;01/01/2024
ETATS - UNIS;Detroit;DTW;295,53;MONDE;01/01/2024
ETATS - UNIS;Houston;IAH;295,53;MONDE;01/01/2024
ETATS - UNIS;Los Angeles;LAX;295,53;MONDE;01/01/2024
ETATS - UNIS;Miami;MIA;295,53;MONDE;01/01/2024
ETATS - UNIS;Minneapolis;MSP;295,53;MONDE;01/01/2024
